state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
Telangana,Nalgonda,Dengue,6,0,11,3,2022,16.8579636,79.21749353,0.0001335467262,8,309.556
Kerala,Trivandrum,Dengue,9,0,22,2,2022,8.4882267,76.947551,0.09370353234,46,301.496
Tamil Nadu,Ariyalur,Dengue,6,0,5,2,2022,11.07603595,79.11745538,0.01250872941,10,303.384
Tamil Nadu,Virudhunagar,Dengue,17,0,16,2,2022,9.5208936,77.8784564,0.3079754379,7,306
Maharashtra,Raigad,Dengue,11,0,21,3,2022,18.4928092,73.13807095,0.0001800343472,0,312.184
Kerala,thiruvananthapuram,Dengue,8,0,16,3,2022,8.4882267,76.947551,0.07619242379,38,305.112
Tamil Nadu,Pudukkottai,Dengue,15,0,30,3,2022,10.5,78.833333,0.06721439309,0,306.37
Kerala,Palakkad,Dengue,18,0,26,3,2022,10.78789845,76.47408711,0.2079999161,23,305.46
Kerala,Ernakulam,Dengue,16,0,28,3,2022,9.98408,76.2741457,0.2976702684,30,303.396
Gujarat,Sabarkantha,Dengue,4,3,26,4,2022,24.0294885,73.0459884,0.0004518239242,7,318.4766666
Maharashtra,Jalgaon,Dengue,9,1,6,5,2022,20.84288265,75.52612464,0.0001810070481,4,319.8166666
West Bengal,Jalpaiguri,Dengue,272,0,8,5,2022,26.4733048,88.67886686,0.2161416423,0,304.6
Kerala,Alappuzha,Dengue,7,0,17,5,2022,9.5006651,76.41241429,1.823726827,0,0
Kerala,Thiruvananthapuram,Dengue,7,0,13,5,2022,8.4882267,76.947551,0.3247661756,12,302.87
Maharashtra,Pune,Dengue,21,0,16,5,2022,18.521428,73.8544541,0.008698042455,0,309.265
Maharashtra,Pune,Dengue,12,0,23,4,2022,18.521428,73.8544541,0.01502899002,0,314.96
Karnataka,Udupi,Dengue,92,0,17,5,2022,13.3419169,74.7473232,0.8331679728,0,302.55
Kerala,Palakkad,Dengue,18,0,3,5,2022,10.78789845,76.47408711,0.7507618224,11,302.5066666
Assam,Sonitpur,Dengue,2,0,3,6,2022,26.76777075,92.70140886,0.5937271413,9,301.796
Kerala,Ernakulam,Dengue,69,0,24,4,2022,9.98408,76.2741457,0.3389977729,26,302.5733334
Tamil Nadu,Tenkasi,Dengue,19,0,20,5,2022,9.0318958,77.36536125,0.4864043787,7,314.98
Himachal Pradesh,Solan,Dengue,34,0,10,6,2022,30.92589585,77.08200509,0.0000763,0,305.7866666
Karnataka,Chikkaballapur,Dengue,28,1,8,6,2022,13.6102243,77.5127721,0.3458920887,10,304.065
Puducherry,Puducherry,Dengue,6,0,11,1,2021,11.9340568,79.8306447,0.8757740871,8,300.28
Puducherry,Puducherry,Dengue,13,0,25,1,2021,11.9340568,79.8306447,0.05978804278,0,300.11
Tamil Nadu,Virudhunagar Sivakasi,Dengue,7,0,25,1,2021,9.4477045,77.8000434,0.08665667543,0,301.34
Karnataka,Dharwad,Dengue,3,0,9,2,2021,15.4540505,75.0066516,0.0000881,0,306.96
Maharashtra,Satara,Dengue,19,0,16,2,2021,17.63612885,74.29827808,0.000054,6,307.9866666
Puducherry,Puducherry,Dengue,11,0,1,3,2021,11.9340568,79.8306447,0.00108310766,10,306.952
Puducherry,Puducherry,Dengue,11,0,1,3,2021,11.9340568,79.8306447,0.00108310766,10,306.952
Kerala,Palakkad,Dengue,7,0,1,4,2021,10.78789845,76.47408711,0.6474464086,22,305.312
Maharashtra,Satara,Dengue,7,0,15,4,2021,17.63612885,74.29827808,0.1527963029,0,313.9833334
Kerala,Kottayam,Dengue,19,0,10,3,2021,9.6287383,76.64553257,0.04293383034,35,306.34
Maharashtra,Satara,Dengue,31,1,5,4,2021,17.63612885,74.29827808,0.000075,5,317.92
Kerala,Kasaragod,Dengue,51,0,12,5,2021,12.5035577,74.9907022,0.5826390959,14,301.27
Kerala,Kozhikode,Dengue,43,0,10,4,2021,11.2450558,75.7754716,0.1248424286,0,0
Kerala,Kannur,Dengue,32,0,2,5,2021,11.8763836,75.3737973,0,26,301.715
Kerala,Malappuram,Dengue,37,0,3,3,2021,11.10684475,76.1099551,0.2116405502,25,305.488
Maharashtra,Thane,Dengue,2,1,29,4,2021,19.1943294,72.9701779,0.1043926176,9,315.4666666
Kerala,Kozhikode,Dengue,64,0,5,5,2021,11.2450558,75.7754716,0.5271077054,0,0
Kerala,Ernakulam,Dengue,24,1,5,5,2021,9.98408,76.2741457,0.6079043601,28,304.5
Kerala,Malappuram,Dengue,20,0,17,5,2021,11.10684475,76.1099551,2.625326529,0,0
Maharashtra,Osmanabad,Dengue Fever,7,1,2,6,2021,18.16984395,76.11796321,0.2700335578,0,313.328
Kerala,Kozhikode,Dengue,64,0,11,5,2021,11.2450558,75.7754716,0.3779355478,0,0
Kerala,Palakkad,Dengue Fever,8,0,19,5,2021,10.78789845,76.47408711,2.608608357,24,300.12
Kerala,Kozhikode,Dengue,24,0,20,5,2021,11.2450558,75.7754716,3.641437897,0,0
Maharashtra,Sindhudurg,Dengue,62,0,25,6,2021,16.1357193,73.6522086,0.833671811,0,298.11
Uttar Pradesh,Farrukhabad,Dengue,7,0,26,6,2021,27.43719385,79.48912947,0.07073094221,0,306.42
Kerala,Kollam,Dengue,22,0,7,6,2021,8.8879509,76.5955013,1.052681601,21,299.96
Kerala,Palakkad,Dengue,16,0,24,5,2021,10.78789845,76.47408711,1.051908116,0,301.215
Maharashtra,Kolhapur,Dengue,5,3,15,6,2021,16.7028412,74.2405329,0.4365472546,7,305.93
Maharashtra,Aurangabad,Suspected Dengue,5,1,25,6,2021,19.877263,75.3390241,0.1321260929,0,309.23
Maharashtra,Pune,Dengue,6,0,24,6,2021,18.521428,73.8544541,0.3569411311,10,301.405
Kerala,Palakkad,Suspected Dengue,17,0,10,6,2021,10.78789845,76.47408711,0.8370712229,0,303.0933334
Karnataka,Dharwad,Dengue,2,0,5,7,2021,15.4540505,75.0066516,0.2825220683,5,309.1
Maharashtra,Amravati,Dengue,3,1,1,7,2021,20.9521098,77.7333168,0.2668179381,4,312.8466666
Maharashtra,Amravati,Dengue,5,0,12,7,2021,20.9521098,77.7333168,0.5008124671,0,316.84
Kerala,Palakkad,Dengue,11,0,13,6,2021,10.78789845,76.47408711,0.2946029949,8,302.156
Maharashtra,Chandrapur,Dengue,58,1,3,7,2021,20.0967555,79.50454752,0.5816240733,0,305.52
Maharashtra,Nagpur,Dengue,4,1,10,7,2021,21.1498134,79.0820556,0.5529516087,13,308.685
Maharashtra,Buldhana,Dengue,7,0,1,7,2021,20.562845,76.40869861,0.4245402926,6,306.6533334
Maharashtra,Osmanabad,Dengue,4,0,23,7,2021,18.16984395,76.11796321,1.374420463,8,300.42
Maharashtra,Amravati,Dengue,13,2,11,7,2021,20.9521098,77.7333168,0.3639732419,0,316.98
Maharashtra,Raigad,Dengue,18,0,11,6,2021,18.4928092,73.13807095,1.136541734,7,302.4
Maharashtra,Satara,Dengue,16,0,16,7,2021,17.63612885,74.29827808,1.489691674,5,303.64
Maharashtra,Wardha,Dengue,4,0,7,6,2021,20.82562315,78.6131455,0.08542046896,5,312.9
Karnataka,Ballari,Dengue,25,0,4,8,2021,15.2485413,76.8323648,0.1445197081,0,302.88
Madhya Pradesh,Burhanpur,Dengue,15,0,12,8,2021,21.3118839,76.2291992,0.183452455,0,308.47
Maharashtra,Thane,Dengue,5,0,17,8,2021,19.1943294,72.9701779,0.4410657126,4,298.92
Tamil Nadu,Salem,Dengue,23,0,24,8,2021,11.0600516,77.0679581,0.6687287045,9,305.96
Tamil Nadu,Virudhunagar - Sivakasi,Dengue,17,0,26,8,2021,9.4477045,77.8000434,0.3986938278,6,297.09
Uttar Pradesh,Mathura,Dengue,182,6,21,8,2021,27.633333,77.583333,0.1655406454,0,306.056
Maharashtra,Amravati,Dengue,22,3,18,8,2021,20.9521098,77.7333168,0.6170837983,17,304.7
Maharashtra,Satara,Dengue,15,0,3,8,2021,17.63612885,74.29827808,0.111707267,8,302.32
Maharashtra,Akola,Dengue,3,0,30,8,2021,20.76181225,77.19211567,0.1589494148,11,304.86
Uttar Pradesh,Firozabad,Dengue,5754,5,2,9,2021,27.17736635,78.38991198,0.7518674339,10,304.5
Uttar Pradesh,Kannauj,Dengue,9,0,31,8,2021,26.9996974,79.68861213,0.1708038105,16,303.46
Uttar Pradesh,Saharanpur,Dengue,5,0,4,9,2021,29.9880774,77.50812995,0.433826222,17,299.995
Maharashtra,Pune,Dengue,23,0,7,6,2021,18.521428,73.8544541,1.023137245,8,304.635
West Bengal,Jalpaiguri,Dengue,119,1,10,9,2021,26.4733048,88.67886686,0.8274690328,37,296.148
Maharashtra,Jalgaon,Dengue,54,1,2,9,2021,20.84288265,75.52612464,0.8720325502,10,302.2666666
Uttar Pradesh,Mainpuri,Dengue,32,0,30,8,2021,27.2098219,79.04813701,0.2972599919,11,303.41
Haryana,Nuh,Dengue,19,0,3,9,2021,28.09734515,77.05085582,0.5809280116,12,299.94
Uttar Pradesh,Kannauj,Dengue,11,0,31,8,2021,26.9996974,79.68861213,0.1708038105,16,303.46
Karnataka,Mysuru,Dengue,13,0,20,9,2021,12.3051828,76.6553609,0.07497948777,10,304.67
Uttar Pradesh,Bareilly,Dengue,158,5,23,9,2021,28.416667,79.383333,0.6523132363,19,300.484
Meghalaya,East Garo Hills,Dengue,3,0,16,9,2021,25.61849455,90.63421622,0.5394564589,27,300.8
Uttar Pradesh,Kannauj,Dengue,42,0,10,9,2021,26.9996974,79.68861213,0.2115289013,14,301.74
Uttar Pradesh,Auraiya,Dengue,34,0,28,9,2021,26.65573395,79.51504701,0.6104519708,17,302.57
Maharashtra,Gadchiroli,Dengue,16,1,28,9,2021,19.75907035,80.16228073,0.6817132291,18,300.8
Uttar Pradesh,Ghaziabad,Dengue,388,0,31,8,2021,28.6711527,77.4120356,0.06308053572,14,299.8133334
Uttar Pradesh,Jhansi,Dengue,40,0,1,9,2021,25.5301308,78.65242146,0.1756067177,13,303.2266666
Uttar Pradesh,Jalaun,Dengue,23,1,1,9,2021,26.105546,79.42765265,0.2619904802,13,302.2
Uttar Pradesh,Kannauj,Dengue,83,0,9,9,2021,26.9996974,79.68861213,0.1822130056,14,301.5466666
Maharashtra,Beed,Dengue Chikungunya,19,0,3,10,2021,18.9918442,75.909784,0.9033264022,14,301.9
Maharashtra,Gadchiroli,Dengue,4,1,4,10,2021,19.75907035,80.16228073,0.3635032179,32,300.305
Tamil Nadu,Ariyalur,Dengue,17,0,6,10,2021,11.07603595,79.11745538,0.826018148,9,308.38
Tamil Nadu,Salem,Dengue,36,0,6,10,2021,11.0600516,77.0679581,0.7678714966,9,307.8
Tamil Nadu,Sivaganga,Dengue,13,0,30,9,2021,9.851231,78.53047155,0.07165945303,0,309.6533334
Uttar Pradesh,Jalaun,Dengue,7,0,4,10,2021,26.105546,79.42765265,0.1089528815,14,303.08
Maharashtra,Chandrapur,Dengue,7,0,16,8,2021,20.0967555,79.50454752,0.03625636178,22,304.72
Uttar Pradesh,Ghazipur,Dengue,9,0,20,9,2021,25.6035084,83.50745405,1.419633441,11,299.34
Maharashtra,Beed,Dengue,6,0,13,10,2021,18.9918442,75.909784,0.2914203975,17,301.925
Uttarakhand,Haridwar,Dengue,172,0,16,10,2021,29.91235135,78.00871782,0.0000686,0,302.0233334
Uttar Pradesh,Ghazipur,Dengue,12,0,20,9,2021,25.6035084,83.50745405,1.419633441,11,299.34
Tamil Nadu,Pudukottai,Dengue,20,0,21,10,2021,10.3826515,78.8191259,0.3938476267,10,304.16
Uttar Pradesh,Muzaffarnagar,Dengue,140,0,31,8,2021,29.44800635,77.74068503,0.0667314591,13,298.66
Jharkhand,Garhwa,Dengue,4,0,5,10,2021,24.15529035,83.82522584,0.3276684066,23,299.45
Maharashtra,Thane,Dengue,5,1,1,10,2021,19.1943294,72.9701779,0.5969992657,29,299.39
Uttar Pradesh,Agra,Dengue,43,1,9,9,2021,27.1752554,78.0098161,0.2492950753,8,301.0533334
Tamil Nadu,Dindigul,Dengue,5,0,25,10,2021,10.3303299,78.06739791,0.6264433056,11,302.435
Uttar Pradesh,Ghazipur,Dengue,12,0,5,10,2021,25.6035084,83.50745405,1.210702805,16,300.275
Maharashtra,Thane,Dengue,1,1,31,10,2021,19.1943294,72.9701779,0.0006784196466,0,303.6133334
Tamil Nadu,Ramanathapuram,Dengue,5,0,30,10,2021,9.3895523,78.85907072,0,7,307.32
Maharashtra,Satara,Dengue,14,0,16,10,2021,17.63612885,74.29827808,0.08792806037,0,304.776
West Bengal,Howrah,Dengue,290,0,17,10,2021,22.5736296,88.3251045,0.293379319,17,300.7066666
Uttar Pradesh,Auraiya,Dengue,43,0,18,11,2021,26.65573395,79.51504701,0.00008,6,300.4333334
